,average,XP,standard,energy,RMS,PulseFactor,ClearanceFactor,Kurtosis,freq_arggmax,freq_sum,power_sum,power_mean,energy_sum,IMFs_1_energy,IMFs_2_energy,IMFs_3_energy,IMFs_4_energy,IMFs_5_energy,label
signal_10,50.43571457942327,84.741213619709,55.81254279662685,1869052.1190625532,55.81296323529378,1.680182670679988,0.03331335115782156,-1.5291114645177806,23596.147720893183,42424.481712588065,1869052.119062554,3115.086865104257,1121431271.4375324,649073.0642568293,310279.3896638218,3170.4641821500177,3486.237407712756,293.01320523284454,0
signal_11,50.43502286622922,85.8520647585392,55.827363924800345,1869645.9463569513,55.82182885987869,1.7022311060757915,0.03375097321935762,-1.525198955613216,23608.463637849927,40386.4627155625,1869645.9463569513,3116.0765772615855,1121787567.8141708,635225.546415775,600376.0076652926,3943.1433981842283,3462.275137125387,191.52234787438533,0
signal_12,50.66477952455482,85.3515652418137,56.06771721260943,1886007.986417119,56.06555666386031,1.6846331128402097,0.03325057621189781,-1.526198902480848,23674.223392458975,45087.710626727494,1886007.986417119,3143.3466440285315,1131604791.8502715,628004.1615944263,721497.1926552991,4330.8480624191625,3054.084376060571,261.02877276013174,0
signal_13,50.560144948760666,84.741213619709,55.987288400444285,1880481.3126132742,55.98335039118437,1.6760476795624017,0.0331495821711145,-1.5224599906556173,23654.51455066352,44646.56048491645,1880481.3126132744,3134.135521022124,1128288787.5679648,867997.1182124907,191119.38676200446,3205.3285042301113,2803.881923423741,210.8770030198035,0
signal_14,50.655766702890396,86.572268486023,56.10819763961499,1888349.2098721757,56.10034476828367,1.7090308590884131,0.033738130331978505,-1.5257152022484985,23681.288837128468,45650.57400036136,1888349.209872176,3147.248683120293,1133009525.9233055,638642.0682545841,594774.1388431459,4291.964993626412,2418.894739323301,186.80235570731531,0
signal_15,50.662378845463195,86.2670926749706,56.09657954761708,1887451.0909520672,56.08700222202507,1.7027840903032487,0.03361042511440879,-1.5249837684793577,23702.904096219998,43214.89712512674,1887451.0909520665,3145.751818253444,1132470654.57124,886805.1678470527,187908.5620224845,3310.068487436517,3175.0240208297073,196.98385376159172,0
signal_16,50.63389576976498,85.656741052866,56.01680987537832,1882362.67796975,56.01134822470874,1.6916877469265204,0.033410183459292066,-1.5286608774416408,23669.109751817872,43238.37347590829,1882362.67796975,3137.271129949583,1129417606.7818499,681923.0630991079,851115.2014661233,4066.565763877694,2959.6925427589586,207.56611348923803,0
signal_17,50.42350754698118,89.6240265965462,55.75764036762679,1864996.1200273177,55.75237095148686,1.7774254699167975,0.03524993711039864,-1.5310945662644098,23575.949380733677,40833.23353397811,1864996.1200273177,3108.326866712196,1118997672.0163906,616564.7728966705,333789.41081636335,3297.1447381055896,3090.2731636788353,225.34281077725757,0
signal_18,50.54608649775386,90.5395540297031,55.85887964288675,1871742.6109576714,55.85312004053834,1.791227774552367,0.035437516505495724,-1.5311670875595718,23607.11821239757,43274.22898934463,1871742.6109576705,3119.571018262784,1123045566.5746026,645427.8407057852,316265.3824931111,3924.5272809375174,3248.7832330488354,332.9599058662144,0
signal_19,50.667648195823034,100.305179983377,56.04729924283727,1884583.8040657067,56.04438425726683,1.9796691489550133,0.03907166050620471,-1.5222323228081718,23692.35564654831,41693.32804721502,1884583.8040657071,3140.9730067761784,1130750282.439424,680118.6668468682,797492.8345269477,4327.384883828714,3296.8650368448907,193.99707920325056,0
signal_20,50.49845870753129,92.9809605181217,55.94594427469702,1877382.7356074098,55.93720788538117,1.8412633355135375,0.036461772945932176,-1.520725878063219,23639.99359655615,43604.4363442717,1877382.73560741,3128.97122601235,1126429641.3644462,693156.6472701414,870498.7586960588,4509.9031371662695,1874.3090028373576,209.74430562886255,0
signal_21,50.18075032452742,88.7084991633892,55.581544247504496,1852856.4183750951,55.570622010421644,1.767779449085482,0.03522823867026604,-1.518279005499009,23499.956323249084,41327.5153216543,1852856.4183750951,3088.0940306251587,1111713851.025057,765077.1428673201,763033.7956224626,4387.703115037349,3466.665669384117,245.3889250779053,0
signal_22,49.75702393934131,89.9292024075985,55.01713308059581,1815591.31488536,55.00895858684232,1.807366986362187,0.03632385627736789,-1.5300382942624084,23142.29148368038,48175.11374974002,1815591.3148853607,3025.9855248089343,1089354788.9312165,723524.6168175994,248551.57014684795,6116.328262731172,2728.753709957573,162.26440925174361,0
signal_23,49.83368406578899,81.6894555091858,54.937799426873795,1810623.5194031955,54.933649666411135,1.6392417506468466,0.03289425177722697,-1.5414116380936047,23109.579468945492,49669.91469571618,1810623.519403195,3017.705865671992,1086374111.6419168,564668.2032015624,416869.8539719275,5872.362655571675,2558.4596858906452,254.07499223694327,0
signal_24,49.6568245480458,82.9101587533951,54.826345395355794,1803610.9003882972,54.82716632577165,1.6696629216226826,0.03362403731650599,-1.5390825272979676,23056.541337189323,48806.42188743318,1803610.9003882965,3006.0181673138272,1082166540.2329779,782893.3126501585,206050.6772924856,6092.232303379491,2362.68026576741,181.96470863123406,0
signal_25,49.71277344673872,83.8256861865521,54.90487422800364,1808805.6919823063,54.90606663478858,1.6862001528915154,0.03391885095081402,-1.5333932042982565,23069.088304032317,48860.96361463412,1808805.6919823068,3014.676153303845,1085283415.189384,712531.3078492025,597002.7060084145,3367.2035775040777,5848.992735821583,135.52694998947322,0
signal_26,49.68835938185453,82.6049829423428,54.86671072654922,1805566.5235514212,54.856882332596776,1.6624614692452282,0.03345776535846613,-1.5346486759380353,23074.092680363963,50021.41855158885,1805566.5235514208,3009.277539252368,1083339914.1308527,787249.9997731695,210603.22158858064,6143.016081594428,2607.384207791894,229.57509381651175,0
signal_27,49.889083703955016,85.0463894307613,55.06323374889669,1818822.2928043832,55.057883068706026,1.7047093896418695,0.03416998796285222,-1.5337794339193087,23174.876924456585,48663.8169517001,1818822.2928043827,3031.3704880073046,1091293375.6826296,791318.2715119362,631811.2068137367,5866.362054205425,3865.482958226556,261.6287985540646,0
signal_28,50.221725338002045,86.2670926749706,55.51916502053505,1848744.0247986934,55.50891857468632,1.7177245921834858,0.034202819210667555,-1.5315858396297144,23467.008766266063,40860.84970593023,1848744.0247986936,3081.240041331156,1109246414.8792157,636059.4227403526,399311.6507683909,4319.987829878124,4428.472443899119,173.11393520287774,0
signal_29,50.36908452734351,90.2343782186508,55.657012703590496,1857847.641628749,55.645419722093166,1.7914635349321448,0.035566728117911804,-1.5277016728384536,23522.254690858656,42174.52977375525,1857847.641628749,3096.412736047915,1114708584.9772494,796670.6509318526,758686.204870502,4797.212824866687,4754.216226398124,314.83296829884034,0
signal_30,50.44607019330064,84.741213619709,55.83490939796479,1870217.6256184117,55.830362492381205,1.6798377612962772,0.03329967537331309,-1.5263713188083492,23606.570307295828,41109.02086473959,1870217.6256184126,3117.0293760306877,1122130575.3710475,739205.7331554657,258014.39050509388,3426.3422085947177,3335.5861244161338,207.06770117872318,0
signal_31,50.46993499765794,85.656741052866,55.884427448527425,1873246.887748919,55.87555947145584,1.6971835025513884,0.03362761419506774,-1.5221373107379417,23634.445137461626,38678.25924189653,1873246.88774892,3122.0781462482,1123948132.649352,670308.047746938,659016.8144476649,3919.32303331035,3731.61649724029,126.27146848916999,0
signal_32,50.809005687435466,86.2670926749706,56.20389589118074,1894673.7857660041,56.19421360730427,1.6978701217981824,0.033416716167268906,-1.5302026335307315,23723.19090052688,46247.16311616508,1894673.7857660044,3157.7896429433404,1136804271.4596028,597630.3566301295,387306.803879009,4099.133057363172,2589.545155368917,235.01773052919165,0
signal_33,50.57933029746016,86.2670926749706,56.04615590177261,1884430.4601057926,56.0421041138683,1.70557997046676,0.033720888759027436,-1.5213071859908744,23678.54874624387,43985.33320473535,1884430.4601057922,3140.717433509654,1130658276.0634751,889480.6655148002,181300.8452042511,3355.6402311729958,2500.142021205568,231.95334030198586,0
signal_34,50.92094411899646,91.4550814628601,56.28796938506383,1900242.5298720067,56.27673482994559,1.7960209309776338,0.03527077044723557,-1.5264512135004462,23750.71385515595,46298.21193350907,1900242.5298720067,3167.0708831200113,1140145517.9232037,663253.9639583031,322371.2482913092,3978.251619261134,3127.4775774535515,254.55848568292762,0
signal_35,50.70135998770595,93.5913121402264,56.08457572643636,1886666.9618331245,56.075350523991744,1.8459329722697853,0.03640795774940527,-1.5238158838810794,23690.204326914733,44212.42887916189,1886666.961833125,3144.4449363885415,1132000177.0998747,799773.6475442783,231831.14830163697,4023.658744594941,2923.6295025839786,208.33561334031324,0
signal_36,50.58118171602487,85.3515652418137,55.96008181871659,1878016.512799872,55.94664888385291,1.687417382239076,0.03336057650279209,-1.5244058549215058,23643.797316423814,43781.81009566742,1878016.5127998716,3130.0275213331192,1126809907.6799235,665008.2819768214,720369.6133517947,4237.424994306419,2887.3775179428294,255.6689296599747,0
signal_37,50.600326430549224,85.3515652418137,55.9206590882738,1875652.110782056,55.91141968599462,1.686778945170676,0.033335337223285334,-1.5290865207601119,23648.50061691179,40116.87279597245,1875652.1107820559,3126.0868513034266,1125391266.4692335,615789.0738687121,379591.3468578269,3707.798318319469,3010.599130215346,127.27539160883032,0
signal_38,50.65928645317753,87.1826201081276,55.97641783302338,1879487.6776067843,55.968557804163346,1.720960286100895,0.03397126976297848,-1.530806122735287,23654.008334968363,43427.993427172536,1879487.6776067843,3132.479462677974,1127692606.5640707,737980.074576054,263365.00624992605,3569.9352284767615,3252.077534165842,249.86669911380696,0
signal_39,50.53591397071878,89.3188507854939,55.9513983684812,1877797.5503553113,55.943387311866616,1.7674331731142032,0.03497380445396276,-1.5281226545348603,23649.118504958347,41834.681284278035,1877797.5503553115,3129.6625839255194,1126678530.2131867,650352.4716445237,689878.0100165036,4138.348008536555,3565.3941721166857,313.4554605048479,0
